edit_history_tweet_ids,id,created_at,text,annote
['1602051238983569410'],1602051238983569410,2022-12-11T21:22:34.000Z," Madam , you people should help differentiate between Africa and Arab , where really does Morocco belong , we Africans should know that Morocco get to the World Cup with Africa slot , enough of Arab , ",2
['1602051238882938880'],1602051238882938880,2022-12-11T21:22:34.000Z, Imagine if Ireland ever reached a World Cup quarter final 🤣no wonder why Rice and Grealish switched to the country they were actually born in 🤣,2
['1602051222093135873'],1602051222093135873,2022-12-11T21:22:30.000Z,"I don’t necessarily agree with the headline , but I do find it an interesting thing to ponder , How important is “mentality” in relation to skill , athleticism , tactics , luck , etc , , It’s the most mysterious part of the game , really , since we can’t read minds , https://t , co/DbTAuCPSNK",2
['1602051217647083520'],1602051217647083520,2022-12-11T21:22:29.000Z,"I mean he has a point . 
When was the last time Brazil and Argentina faced each other in the World Cup . 
Not to take anything away from Croatia because they deserve to be in the semifinals but a tie between the 2 biggest football nations in the world could've been historic . https://t . co/3yyXOMazf0",2
['1602051210827399168'],1602051210827399168,2022-12-11T21:22:27.000Z,qatar world cup shit suss af . that american journalist def got poisoned . ,2
['1602051210814554115'],1602051210814554115,2022-12-11T21:22:27.000Z," In the UK this is called gift donations . Good to see the EU take a more serious stance on what seems to be lobbying in a different guise . 

https://t . co/bfXoZjfgg3",2
['1602051210785296384'],1602051210785296384,2022-12-11T21:22:27.000Z,   video of coffin from Qatar arriving in Nepal . Young person “died in sleep” . No post-mortem . no compensation . It is laughable that Qatar maintained that there were only 3 world cup related deaths . The reality is that sometimes there are &gt . 5 coffins in a single flight . ,2
['1602051204825387008'],1602051204825387008,2022-12-11T21:22:26.000Z,"Although India is not playing the World Cup Football tournament , the descendants , distant descendants and hardcore followers of so called 'Vir' Savarkar in India are completely shattered and grief stricken as England had been knocked out of this year's tournament , 🙄😏😢😥😊😀😜 https://t , co/VQWIGplY9W",2
['1602051189776187392'],1602051189776187392,2022-12-11T21:22:22.000Z, Mark my words . If Argentina win the WC . You will definitely see him World Cup 2026 . That’s who he is . Messi is his worst nightmare,0
['1602051189017047040'],1602051189017047040,2022-12-11T21:22:22.000Z,"FIFA World Cup bracket 2022: Best picks , predictions , simulations for Qatar from advanced soccer model
           
https://t , co/bcZ1LVqUEg",2
['1602051188526129153'],1602051188526129153,2022-12-11T21:22:22.000Z,"  I put it 2you , the world cup comes first bcos literally all nations have to contest , from qualifiers across different continents , After that , the others are at par , Kanu couldn't play in Euros bcos he is African , Ozil couldn't play Afcon bcos he is European , Bro , its simple na",2
['1602051183333593089'],1602051183333593089,2022-12-11T21:22:21.000Z,Croatia or France is winning this World Cup ,2
['1602051180267536386'],1602051180267536386,2022-12-11T21:22:20.000Z,   It’s the last World Cup he’ll ever play for the rest of his career . It was his dream to win just one wc but didn’t get to . He’s gonna retire soon aswell,2
['1602051180066217985'],1602051180066217985,2022-12-11T21:22:20.000Z,"Listen to "" TRICOLOGY NEWS TALK: EPISODE 221 - 2022 BEST COMIC BOOK MOVIES "" FIFA WORLD CUP 2026",2
['1602051172621508608'],1602051172621508608,2022-12-11T21:22:18.000Z,    Messi wey reach get zero world cup,2
['1602051170620801024'],1602051170620801024,2022-12-11T21:22:18.000Z, Do you want morroco to win the world cup ? ,2
['1602051169190379522'],1602051169190379522,2022-12-11T21:22:18.000Z,"  He hasn’t done shit at this World Cup let’s be fair
He is no longer the player he used to be , he’s all grown now
Needs to give chance to the youngsters",2
['1602051166376017924'],1602051166376017924,2022-12-11T21:22:17.000Z,"large senior level 6 final placements
 
🥇 cheer athletics- panthers
🥈world cup allstars- shooting stars
🥉the stingray allstars- orange",2
['1602051157727543296'],1602051157727543296,2022-12-11T21:22:15.000Z,FIFA reveal the new 'Dream' ball to be used in the World Cup semi-finals and final in Qatar https://t . co/1uuKiHyhQd,2
['1602051156297097227'],1602051156297097227,2022-12-11T21:22:14.000Z, All the best players are decidedly not at the world cup ! It's a lottery of where you were born ! Whereas Champions league clubs actively seek out the best talent ! World cup was a great competition when the sport was still amateur ! Not so much anymore ! ,4
['1602051151272222721'],1602051151272222721,2022-12-11T21:22:13.000Z,Pouring Through a Crisis: How Budweiser Salvaged Its World Cup https://t . co/YSiSJ4fq2g,2
['1602051148474613765'],1602051148474613765,2022-12-11T21:22:13.000Z,"  Frankly , it’s silly for anyone to look to World Cup or any other sports outcomes for triumphs over imperialism , That’s not to say subversive acts can’t take place in sports , but they aren’t occurring within game/match outcomes , ",4
['1602051143986999296'],1602051143986999296,2022-12-11T21:22:12.000Z,Antoine Griezmann's half-time rallying cry in France's World Cup win against England is revealed https://t . co/lbPBS9W0Nv,2
['1602051140262281216'],1602051140262281216,2022-12-11T21:22:11.000Z,"Nice to see so many of those ‘online experts’ who know nothing about football predictably taking a break from the terminal dross of their Premier League comments to give pointless , vacant opinions about the World Cup",2
['1602051139947712514'],1602051139947712514,2022-12-11T21:22:11.000Z,Been a bit crook so not drunk for a couple of weeks . Worked out it’s been my driest World Cup since 1982 and my driest December run in since 1989 . In not unrelated news this is a very good listen . https://t . co/n1YrVmjTCA,4
['1602051127570305026'],1602051127570305026,2022-12-11T21:22:08.000Z," Relax make the World Cup end 😂😂 
We will work on the clubs after",2
['1602051126521634817'],1602051126521634817,2022-12-11T21:22:07.000Z,"😱khalifa international stadium , fifa world cup 2022 , football , qatar world cup trailer 💥 https://t , co/eG4STvEmhX",2
['1602051121585049601'],1602051121585049601,2022-12-11T21:22:06.000Z,"😱khalifa international stadium , fifa world cup 2022 , football , qatar world cup trailer 💥 https://t , co/fbGpSAi8uf",2
['1602051118762164227'],1602051118762164227,2022-12-11T21:22:06.000Z," Very common today . 
Even one of the World Cup stadiums . ",2
['1602051117772410880'],1602051117772410880,2022-12-11T21:22:05.000Z,"I Wanted The World Cup For Portugal , Says Ronaldo https://t , co/RjQUpqrIzJ",2
['1602051112563277824'],1602051112563277824,2022-12-11T21:22:04.000Z,"G . O . A . T Squad NFT is the NFT collection following the theme of the most anticipated sport event in the world: The World Cup . 
     ",2
['1602051110134583299'],1602051110134583299,2022-12-11T21:22:03.000Z," France with their black contingent is Africa winning the world cup again . 
Subtract the African players from the squad and you'd be left with dem Rabiot . ",2
['1602051088961748992'],1602051088961748992,2022-12-11T21:21:58.000Z," Defo in the past I would agree , but England were miles better than France last nite and the first time since the Germany SF in 96 that England showed no fear against a top team in a major tournament , England have 4years to find a world class CB 2 become world cup winners no doubt",2
['1602051083429466113'],1602051083429466113,2022-12-11T21:21:57.000Z,"Who do you think will be the winner of World Cup Lemuria 2022 ? 

🕯️🦎
 - ",2
['1602051082825392131'],1602051082825392131,2022-12-11T21:21:57.000Z, I'm already so angry 😡 right now seeing this Pepe talk everywhere . It's shameful . why is it that Ronaldo fans are blindly spreading this motion and saying the world cup is staged for Messi . First of all Brazil's match was officiated by an English ref . England not out yet,0
